Sample_Name,Winner_annotation,Confidence,Number_annotations
American History X (1998).avi_shot_4147_4150..avi.mp4,Static,100.0,2
American History X (1998).avi_shot_4318_4326..avi.mp4,Static,100.0,2
American History X (1998).avi_shot_433_440..avi.mp4,Static,100.0,2
American History X (1998).avi_shot_5360_5370..avi.mp4,Static,100.0,3
Casablanca (1942).avi_shot_339_346..avi.mp4,Static,100.0,2
Casablanca (1942).avi_shot_3644_3651..avi.mp4,Static,100.0,3
Casablanca (1942).avi_shot_3721_3750..avi.mp4,Static,100.0,3
Casino (1995).mp4_shot_2005_2013..mp4.mp4,Static,100.0,2
Casino (1995).mp4_shot_5763_5769..mp4.mp4,Static,100.0,2
Casino (1995).mp4_shot_5803_5809..mp4.mp4,Static,100.0,2
Casino (1995).mp4_shot_6423_6429..mp4.mp4,Static,100.0,2
Casino (1995).mp4_shot_6870_6878..mp4.mp4,Static,100.0,2
Cassandra_s Dream.avi_shot_2496_2510..avi.mp4,Static,100.0,3
Cassandra_s Dream.avi_shot_767_771..avi.mp4,Static,100.0,2
Celebrity.avi_shot_4165_4170..avi.mp4,Static,100.0,2
Chinatown (1974).mp4_shot_1127_1151..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_3246_3250..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_3970_3975..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_4249_4257..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_5385_5390..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_6844_6851..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_7524_7542..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_7962_8010..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_8221_8230..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_8518_8523..mp4.mp4,Static,100.0,2
Cinema Paradiso (Nuovo cinema Paradiso) (1989).mp4_shot_8564_8573..mp4.mp4,Static,100.0,2
Citizen Kane (1941).mp4_shot_519_522..mp4.mp4,Static,100.0,2
Citizen Kane (1941).mp4_shot_5725_5778..mp4.mp4,Static,100.0,2
City of God (Cidade de Deus) (2002).avi_shot_1850_1857..avi.mp4,Static,100.0,2
Clockwork Orange A (1971).avi_shot_168_185..avi.mp4,Static,100.0,2
Clockwork Orange A (1971).avi_shot_1854_1863..avi.mp4,Static,100.0,2
Clockwork Orange A (1971).avi_shot_4650_4681..avi.mp4,Static,100.0,2
Clockwork Orange A (1971).avi_shot_5460_5469..avi.mp4,Static,100.0,2
Clockwork Orange A (1971).avi_shot_7415_7438..avi.mp4,Static,100.0,2
Clockwork Orange A (1971).avi_shot_845_860..avi.mp4,Static,100.0,2
Control (2007).avi_shot_1048_1072..avi.mp4,Static,100.0,2
Control (2007).avi_shot_2415_2449..avi.mp4,Static,100.0,2
Control (2007).avi_shot_367_380..avi.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_1431_1435..mp4.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_1535_1540..mp4.mp4,Static,100.0,3
Cool Hand Luke (1967).mp4_shot_187_194..mp4.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_3481_3491..mp4.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_3824_3831..mp4.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_3939_3953..mp4.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_5183_5187..mp4.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_5223_5228..mp4.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_5817_5829..mp4.mp4,Static,100.0,2
Cool Hand Luke (1967).mp4_shot_7373_7379..mp4.mp4,Static,100.0,2
Corpse Bride.mp4_shot_177_180..mp4.mp4,Static,100.0,2
Corpse Bride.mp4_shot_1801_1804..mp4.mp4,Static,100.0,3
Corpse Bride.mp4_shot_1946_1950..mp4.mp4,Static,100.0,2
Corpse Bride.mp4_shot_2162_2167..mp4.mp4,Static,100.0,2
Corpse Bride.mp4_shot_2308_2313..mp4.mp4,Static,100.0,2
Corpse Bride.mp4_shot_2960_2967..mp4.mp4,Static,100.0,2
Corpse Bride.mp4_shot_3057_3063..mp4.mp4,Static,100.0,2
Corpse Bride.mp4_shot_3163_3169..mp4.mp4,Static,100.0,2
Corpse Bride.mp4_shot_3989_3993..mp4.mp4,Static,100.0,3
Corpse Bride.mp4_shot_4335_4339..mp4.mp4,Static,100.0,3
Corpse Bride.mp4_shot_4386_4390..mp4.mp4,Static,100.0,3
Corpse Bride.mp4_shot_989_993..mp4.mp4,Static,100.0,2
Crimes and Misdemeanors.avi_shot_464_468..avi.mp4,Static,100.0,2
Crimes and Misdemeanors.avi_shot_5404_5414..avi.mp4,Static,100.0,2
Cul de Sac.avi_shot_1396_1495..avi.mp4,Static,100.0,2
Cul de Sac.avi_shot_3281_3325..avi.mp4,Static,100.0,2
Cul de Sac.avi_shot_5482_5495..avi.mp4,Static,100.0,2
Family Plot.mp4_shot_5909_5934..mp4.mp4,Static,100.0,2
Fight Club (1999).mp4_shot_2964_2970..mp4.mp4,Static,100.0,2
Fight Club (1999).mp4_shot_3418_3423..mp4.mp4,Static,100.0,2
Fight Club (1999).mp4_shot_476_486..mp4.mp4,Static,100.0,2
Fight Club (1999).mp4_shot_5652_5654..mp4.mp4,Static,100.0,2
Finding Nemo (2003).mp4_shot_2284_2288..mp4.mp4,Static,100.0,2
Finding Nemo (2003).mp4_shot_2501_2512..mp4.mp4,Static,100.0,2
Finding Nemo (2003).mp4_shot_4074_4076..mp4.mp4,Static,100.0,2
Finding Nemo (2003).mp4_shot_5496_5501..mp4.mp4,Static,100.0,2
For a Few Dollars More (Per qualche dollaro in più) (1965).avi_shot_5120_5127..avi.mp4,Static,100.0,2
For a Few Dollars More (Per qualche dollaro in più) (1965).avi_shot_6671_6678..avi.mp4,Static,100.0,2
Foreign Correspondent.mp4_shot_1241_1251..mp4.mp4,Static,100.0,2
Foreign Correspondent.mp4_shot_1287_1297..mp4.mp4,Static,100.0,2
Foreign Correspondent.mp4_shot_2587_2594..mp4.mp4,Static,100.0,3
Foreign Correspondent.mp4_shot_3034_3086..mp4.mp4,Static,100.0,2
Foreign Correspondent.mp4_shot_3648_3658..mp4.mp4,Static,100.0,2
Forrest Gump (1994).avi_shot_6368_6378..avi.mp4,Static,100.0,2
Frankenweenie.mp4_shot_1717_1721..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_1730_1736..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_2953_2956..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_3362_3367..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_3681_3683..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_3753_3760..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_4125_4128..mp4.mp4,Static,100.0,3
Frankenweenie.mp4_shot_4195_4198..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_4251_4254..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_4320_4322..mp4.mp4,Static,100.0,3
Frankenweenie.mp4_shot_4709_4719..mp4.mp4,Static,100.0,2
Frankenweenie.mp4_shot_724_730..mp4.mp4,Static,100.0,3
Frankenweenie.mp4_shot_834_838..mp4.mp4,Static,100.0,2
Frenzy.mp4_shot_3342_3382..mp4.mp4,Static,100.0,2
Frenzy.mp4_shot_5188_5196..mp4.mp4,Static,100.0,2
Gladiator (2000).mp4_shot_2557_2561..mp4.mp4,Static,100.0,2
Gladiator (2000).mp4_shot_8547_8558..mp4.mp4,Static,100.0,2
Godfather Part II The (1974).mp4_shot_10265_10275..mp4.mp4,Static,100.0,2
Godfather Part II The (1974).mp4_shot_2225_2230..mp4.mp4,Static,100.0,2
Godfather Part II The (1974).mp4_shot_235_239..mp4.mp4,Static,100.0,2
Godfather Part II The (1974).mp4_shot_3933_3936..mp4.mp4,Static,100.0,2
Godfather Part II The (1974).mp4_shot_5069_5087..mp4.mp4,Static,100.0,2
Godfather Part II The (1974).mp4_shot_5820_5830..mp4.mp4,Static,100.0,2
Godfather Part II The (1974).mp4_shot_6937_6944..mp4.mp4,Static,100.0,3
Godfather Part II The (1974).mp4_shot_8607_8614..mp4.mp4,Static,100.0,2
Godfather Part II The (1974).mp4_shot_864_871..mp4.mp4,Static,100.0,2
I Am Legend (2007).avi_shot_1277_1284..avi.mp4,Static,100.0,2
I Confess.mkv_shot_114_118..mkv.mp4,Static,100.0,2
I Confess.mkv_shot_1229_1233..mkv.mp4,Static,100.0,2
I Confess.mkv_shot_4461_4465..mkv.mp4,Static,100.0,2
I Confess.mkv_shot_4610_4614..mkv.mp4,Static,100.0,2
I Confess.mkv_shot_5480_5484..mkv.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_5234_5240..avi.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_5454_5460..avi.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_579_604..avi.mp4,Static,100.0,2
I_m Not There (2007).avi_shot_6489_6497..avi.mp4,Static,100.0,2
In the Mood For Love (Fa yeung nin wa) (2000).mkv_shot_1539_1556..mkv.mp4,Static,100.0,2
In the Mood For Love (Fa yeung nin wa) (2000).mkv_shot_4791_4803..mkv.mp4,Static,100.0,2
Inception (2010).avi_shot_1689_1692..avi.mp4,Static,100.0,2
Inception (2010).avi_shot_819_831..avi.mp4,Static,100.0,2
Indiana Jones and the Last Crusade (1989).mp4_shot_4843_4846..mp4.mp4,Static,100.0,2
Indiana Jones and the Last Crusade (1989).mp4_shot_6596_6606..mp4.mp4,Static,100.0,2
Inglourious Basterds (2009).mp4_shot_6675_6679..mp4.mp4,Static,100.0,3
Inglourious Basterds (2009).mp4_shot_7574_7595..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_3129_3136..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_3442_3446..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_3530_3537..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_4202_4206..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_5240_5260..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_6251_6254..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_6472_6476..mp4.mp4,Static,100.0,2
Inglourious Basterds.mp4_shot_8605_8609..mp4.mp4,Static,100.0,2
